office_name,office_name_short,agency,field_office_name,sub_office,address,city,state,zip,zip_4,address_full,area,office_latitude,office_longitude
"Office of the Principal Legal Advisor, Los Angeles (Adelanto)",Adelanto - OPLA,OPLA,,FALSE,10250 Rancho Road,Adelanto,CA,92301,92301,"10250 Rancho Road, Adelanto, CA 92301",,34.5592376,-117.4415063
"Office of the Principal Legal Advisor, Washington, D.C. (Annandale)",Annandale - OPLA,OPLA,,FALSE,7619 Little River Turnpike Suite 900,Annandale,VA,22003,22003,"7619 Little River Turnpike Suite 900, Annandale, VA 22003",District of Columbia and Virginia (Annandale Immigration Court),38.8317646,-77.2099851
"Office of the Principal Legal Advisor, Atlanta",Atlanta - OPLA,OPLA,,FALSE,"180 Ted Turner Drive, SW, Suite 332",Atlanta,GA,30303,30303,"180 Ted Turner Drive, SW, Suite 332, Atlanta, GA 30303","Georgia, North Carolina, and South Carolina",33.7495264,-84.3973924
Atlanta Field Office,Atlanta - ERO,ERO,,FALSE,180 Ted Turner Dr. SW Suite 522,Atlanta,GA,30303,30303,"180 Ted Turner Dr. SW Suite 522, Atlanta, GA 30303","Georgia, North Carolina, South Carolina",33.749609,-84.3973461
"Office of the Principal Legal Advisor, Atlanta",Atlanta - OPLA,OPLA,,FALSE,"401 W. Peachtree Street, NW, Suite 2850",Atlanta,GA,30308,30308,"401 W. Peachtree Street, NW, Suite 2850, Atlanta, GA 30308",,33.7653676,-84.387193
HSI Atlanta,Atlanta - HSI,HSI,,FALSE,1100 Centre Parkway,Atlanta,GA,30344,30344,"1100 Centre Parkway, Atlanta, GA 30344","Alabama, Georgia",33.6533818,-84.5124864
Atlanta – Community Relations Officer,Atlanta - OPE,OPE,,FALSE,,Atlanta,GA,,,,"Georgia, South Carolina, North Carolina",,
"Office of the Principal Legal Advisor, Baltimore",Baltimore - OPLA,OPLA,,FALSE,"31 Hopkins Plaza, Room 1600",Baltimore,MD,21201,21201,"31 Hopkins Plaza, Room 1600, Baltimore, MD 21201",Maryland,39.2880994,-76.6167868
Baltimore Field Office,Baltimore - ERO,ERO,,FALSE,31 Hopkins Plaza 6th Floor,Baltimore,MD,21201,21201,"31 Hopkins Plaza 6th Floor, Baltimore, MD 21201",Maryland,39.2879833,-76.616563
Baltimore - Community Relations Officer,Baltimore - OPE,OPE,,FALSE,"40 South Gay Street, 3rd Floor",Baltimore,MD,21202,21202,"40 South Gay Street, 3rd Floor, Baltimore, MD 21202",Maryland,39.2881981,-76.6092072
HSI Baltimore,Baltimore - HSI,HSI,,FALSE,40 South Gay Street 3rd Floor,Baltimore,MD,21202,21202,"40 South Gay Street 3rd Floor, Baltimore, MD 21202",Maryland,39.2881981,-76.6092072
"Office of the Principal Legal Advisor, Buffalo (Batavia)",Batavia - OPLA,OPLA,,FALSE,4250 Federal Drive,Batavia,NY,14020,14020,"4250 Federal Drive, Batavia, NY 14020",,43.0201451,-78.2023932
"Office of the Principal Legal Advisor, Boston",Boston - OPLA,OPLA,,FALSE,"15 New Sudbury Street, Room 425",Boston,MA,02203,02203,"15 New Sudbury Street, Room 425, Boston, MA 02203","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, and Vermont",42.3609639,-71.0603133
HSI Boston,Boston - HSI,HSI,,FALSE,10 Causeway Street Room 722,Boston,MA,02222,02222,"10 Causeway Street Room 722, Boston, MA 02222","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",42.3651716,-71.0633103
"Office of the Principal Legal Advisor, Detroit (Cleveland)",Brooklyn Heights - OPLA,OPLA,,FALSE,"925 Keynote Circle, Room 201",Brooklyn Heights,OH,44131,44131,"925 Keynote Circle, Room 201, Brooklyn Heights, OH 44131",,41.4117491,-81.6655486
HSI Buffalo,Buffalo - HSI,HSI,,FALSE,250 Delaware Ave Suite 814,Buffalo,NY,14202,14202,"250 Delaware Ave Suite 814, Buffalo, NY 14202",New York state(minus New York City surrounding areas),42.8911691,-78.8769453
"Office of the Principal Legal Advisor, Buffalo",Buffalo - OPLA,OPLA,,FALSE,"250 Delaware Avenue, Suite 773",Buffalo,NY,14202,14202,"250 Delaware Avenue, Suite 773, Buffalo, NY 14202",Northern and Western New York,42.8911691,-78.8769453
Buffalo - Community Relations Officer,Buffalo - OPE,OPE,,FALSE,"130 Delaware Avenue, Ste 300",Buffalo,NY,14202,14202,"130 Delaware Avenue, Ste 300, Buffalo, NY 14202","Western, Central & Northern New York State",42.8880416,-78.8778238
Buffalo Field Office,Buffalo - ERO,ERO,,FALSE,"250 Delaware Avenue, Floor 7",Buffalo,NY,14202,14202,"250 Delaware Avenue, Floor 7, Buffalo, NY 14202",Upstate New York,42.8911691,-78.8769453
Boston Field Office,Burlington - ERO,ERO,,FALSE,1000 District Avenue,Burlington,MA,01803,01803,"1000 District Avenue, Burlington, MA 01803","Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont",42.4825992,-71.2088135
"Office of the Principal Legal Advisor, Denver",Centennial - OPLA,OPLA,,FALSE,12445 East Caley Avenue,Centennial,CO,80111,80111-6432,"12445 East Caley Avenue, Centennial, CO 80111-6432","Colorado, Idaho (ERO) , Montana, Utah, and Wyoming",39.6015038,-104.8449885
Denver - Community Relations Officer,Centennial - OPE,OPE,,FALSE,12445 E. Caley Ave,Centennial,CO,80111,80111,"12445 E. Caley Ave, Centennial, CO 80111","Colorado, Utah, Idaho, Montana and Wyoming",39.6015038,-104.8449885
Denver Field Office,Centennial - ERO,ERO,,FALSE,12445 E. Caley Avenue,Centennial,CO,80111,80111,"12445 E. Caley Avenue, Centennial, CO 80111","Colorado, Wyoming",39.6015038,-104.8449885
Washington – Community Relations Officer,Chantilly - OPE,OPE,,FALSE,14797 Murdock Street Mail Stop 5216,Chantilly,VA,20598,20598-5216,"14797 Murdock Street Mail Stop 5216, Chantilly, VA 20598-5216",District of Columbia and Virginia,38.9114848,-77.4586768
Washington Field Office,Chantilly - ERO,ERO,,FALSE,14797 Murdock Street Mail Stop 5216,Chantilly,VA,20598,20598-5216,"14797 Murdock Street Mail Stop 5216, Chantilly, VA 20598-5216",District of Columbia and Virginia,38.9114848,-77.4586768
"Office of the Principal Legal Advisor, El Paso (Chaparral)",Chaparral - OPLA,OPLA,,FALSE,26 McGregor Range Road,Chaparral,NM,88081,88081,"26 McGregor Range Road, Chaparral, NM 88081",,32.0768294,-106.2549005
HSI Charlotte,Charlotte - HSI,HSI,,FALSE,3700 Arco Corporate Drive Suite 300,Charlotte,NC,28273,28273,"3700 Arco Corporate Drive Suite 300, Charlotte, NC 28273","North Carolina, South Carolina",35.15147,-80.94743
"Office of the Principal Legal Advisor, Atlanta (Charlotte)",Charlotte - OPLA,OPLA,,FALSE,"5701 Executive Center Drive, Suite 300",Charlotte,NC,28212,28212,"5701 Executive Center Drive, Suite 300, Charlotte, NC 28212",,35.20041,-80.74324
Chicago - Community Relations Officer,Chicago - OPE,OPE,,FALSE,101 W Ida B. Wells Parkway,Chicago,IL,60605,60605,"101 W Ida B. Wells Parkway, Chicago, IL 60605","Illinois, Kansas, Indiana, Kentucky, Missouri, Wisconsin",41.8753905,-87.6309402
"Office of the Principal Legal Advisor, Chicago",Chicago - OPLA,OPLA,,FALSE,55 E. Monroe Street Suite 1400,Chicago,IL,60603,60603,"55 E. Monroe Street Suite 1400, Chicago, IL 60603","Illinois, Indiana, Kansas, Kentucky, Missouri, and Wisconsin",41.8806789,-87.6257047
Chicago Field Office,Chicago - ERO,ERO,,FALSE,101 W Ida B Wells Drive Suite 4000,Chicago,IL,60605,60605,"101 W Ida B Wells Drive Suite 4000, Chicago, IL 60605","Illinois, Indiana, Wisconsin, Missouri, Kentucky, Kansas",41.8753905,-87.6309402
"Office of the Principal Legal Advisor, Houston (Conroe)",Conroe - OPLA,OPLA,,FALSE,806 Hilbig Road Suite 2-201,Conroe,TX,77301,77301,"806 Hilbig Road Suite 2-201, Conroe, TX 77301",,30.336088,-95.4425046
Dallas Field Office,Dallas - ERO,ERO,,FALSE,8101 N. Stemmons Frwy,Dallas,TX,75247,75247,"8101 N. Stemmons Frwy, Dallas, TX 75247","North Texas, Oklahoma",32.8235915,-96.8721529
Dallas - Community Relations Officer,Dallas - OPE,OPE,,FALSE,8101 N. Stemmons Freeway,Dallas,TX,75247,75247,"8101 N. Stemmons Freeway, Dallas, TX 75247",North Texas and Oklahoma,32.8235915,-96.8721529
Detroit Field Office,Detroit - ERO,ERO,,FALSE,985 Michigan Avenue Suite 207,Detroit,MI,48226,48226,"985 Michigan Avenue Suite 207, Detroit, MI 48226","Michigan, Ohio",42.3312672,-83.0589217
HSI Detroit,Detroit - HSI,HSI,,FALSE,477 Michigan Avenue Suite 1850,Detroit,MI,48226,48226,"477 Michigan Avenue Suite 1850, Detroit, MI 48226","Michigan, Ohio",42.3314645,-83.053233
Detroit - Community Relations Officer,Detroit - OPE,OPE,,FALSE,"477 Michigan Avenue, Ste 1850",Detroit,MI,48226,48226,"477 Michigan Avenue, Ste 1850, Detroit, MI 48226",Michigan and Ohio,42.3314645,-83.053233
"Office of the Principal Legal Advisor, Detroit",Detroit - OPLA,OPLA,,FALSE,"985 Michigan Avenue, Suite 1010",Detroit,MI,48226,48226,"985 Michigan Avenue, Suite 1010, Detroit, MI 48226",Michigan and Ohio,42.3312672,-83.0589217
"Office of the Principal Legal Advisor, San Antonio (Dilley)",Dilley - OPLA,OPLA,,FALSE,300 El Rancho Way,Dilley,TX,78017,78017,"300 El Rancho Way, Dilley, TX 78017",,28.6578745,-99.2003862
El Paso Field Office,El Paso - ERO,ERO,,FALSE,11541 Montana Ave Suite E,El Paso,TX,79936,79936,"11541 Montana Ave Suite E, El Paso, TX 79936","West Texas, New Mexico",31.804214,-106.2910235
HSI El Paso,El Paso - HSI,HSI,,FALSE,11541 Montana Avenue Suite H,El Paso,TX,79936,79936,"11541 Montana Avenue Suite H, El Paso, TX 79936","New Mexico, northwest Texas",31.804214,-106.2910235
El Paso - Community Relations Officer,El Paso - OPE,OPE,,FALSE,11541 Montana Avenue,El Paso,TX,79925,79925,"11541 Montana Avenue, El Paso, TX 79925",West Texas and New Mexico,31.804214,-106.2910235
"Office of the Principal Legal Advisor, El Paso",El Paso - OPLA,OPLA,,FALSE,"11541 Montana Avenue, Suite O",El Paso,TX,79936,79936,"11541 Montana Avenue, Suite O, El Paso, TX 79936",West Texas and New Mexico,31.804214,-106.2910235
"Office of the Principal Legal Advisor, Newark (Elizabeth)",Elizabeth - OPLA,OPLA,,FALSE,"625 Evans Street, Room 135",Elizabeth,NJ,07201,07201,"625 Evans Street, Room 135, Elizabeth, NJ 07201",,40.6660324,-74.1898667
"Office of the Principal Legal Advisor, Phoenix (Eloy)",Eloy - OPLA,OPLA,,FALSE,1705 East Hanna Road,Eloy,AZ,85131,85131,"1705 East Hanna Road, Eloy, AZ 85131",,32.8176183,-111.5200907
Special Agent in Charge – East,Fairfax - OPR,OPR,,FALSE,,Fairfax,VA,22030,22030,,,,
"Office of the Principal Legal Advisor, Phoenix (Florence)",Florence - OPLA,OPLA,,FALSE,3250 N. Pinal Parkway Avenue,Florence,AZ,85132,85132,"3250 N. Pinal Parkway Avenue, Florence, AZ 85132",,33.0639503,-111.3794387
St. Paul - Community Relations Officer,Fort Snelling - OPE,OPE,,FALSE,"1 Federal Drive, Ste 1340",Fort Snelling,MN,55111,55111,"1 Federal Drive, Ste 1340, Fort Snelling, MN 55111","Minnesota, Iowa, Nebraska, South Dakota, North Dakota",44.8941305,-93.1948495
"Office of the Principal Legal Advisor, Minneapolis-St. Paul",Fort Snelling - OPLA,OPLA,,FALSE,"1 Federal Drive, Suite 1800",Fort Snelling,MN,55111,55111,"1 Federal Drive, Suite 1800, Fort Snelling, MN 55111","Iowa, Minnesota, Nebraska, North Dakota and South Dakota",44.8941305,-93.1948495
St. Paul Field Office,Fort Snelling - ERO,ERO,,FALSE,1 Federal Drive Suite 1601,Fort Snelling,MN,55111,55111,"1 Federal Drive Suite 1601, Fort Snelling, MN 55111","Iowa, Minnesota, Nebraska, North Dakota, South Dakota",44.8941668,-93.1948264
HSI Minneapolis/St. Paul,Fort Snelling - HSI,HSI,,FALSE,1 Federal Drive Suite 1340,Fort Snelling,MN,55111,55111,"1 Federal Drive Suite 1340, Fort Snelling, MN 55111","Minnesota, North Dakota, South Dakota",44.8941305,-93.1948495
HSI Denver,Greenwood Village - HSI,HSI,,FALSE,5445 DTC Pkwy Suite 600,Greenwood Village,CO,80111,80111,"5445 DTC Pkwy Suite 600, Greenwood Village, CO 80111","Colorado, Montana, Wyoming",39.6179652,-104.8971616
"Office of the Principal Legal Advisor, Miami (San Juan)",Guaynabo - OPLA,OPLA,,FALSE,7 Tabonuco Street Room 300 (Suite 313),Guaynabo,PR,00968,00968,"7 Tabonuco Street Room 300 (Suite 313), Guaynabo, PR 00968",,18.4073024,-66.1070664
"Office of the Principal Legal Advisor, San Antonio (Harlingen)",Harlingen - OPLA,OPLA,,FALSE,"1717 Zoy Street, Annex",Harlingen,TX,78552,78552,"1717 Zoy Street, Annex, Harlingen, TX 78552",,26.1776479,-97.714091
Harlingen Field Office,Harlingen - ERO,ERO,,FALSE,1717 Zoy Street,Harlingen,TX,78552,78552,"1717 Zoy Street, Harlingen, TX 78552",South Texas,26.1776479,-97.714091
Harlingen - Community Relations Officer,Harlingen - OPE,OPE,,FALSE,1717 Zoy Street,Harlingen,TX,78552,78552,"1717 Zoy Street, Harlingen, TX 78552",Harlingen,26.1776479,-97.714091
"Office of the Principal Legal Advisor, Boston (Hartford)",Hartford - OPLA,OPLA,,FALSE,"450 Main Street, Room 483",Hartford,CT,06103,06103-3060,"450 Main Street, Room 483, Hartford, CT 06103-3060",,41.7613805,-72.6734969
HSI Honolulu,Honolulu - HSI,HSI,,FALSE,595 Ala Moana Boulevard,Honolulu,HI,96813,96813,"595 Ala Moana Boulevard, Honolulu, HI 96813","Guam, Hawaii, Northern Mariana Islands",21.2999288,-157.8638944
"Office of the Principal Legal Advisor, Honolulu",Honolulu - OPLA,OPLA,,FALSE,300 Ala Moana Boulevard Suite 7-220,Honolulu,HI,96850,96850,"300 Ala Moana Boulevard Suite 7-220, Honolulu, HI 96850","Hawaii, Northern Mariana Islands, Guam, Saipan",21.3034692,-157.8623345
Houston Field Office,Houston - ERO,ERO,,FALSE,126 Northpoint Drive,Houston,TX,77060,77060,"126 Northpoint Drive, Houston, TX 77060",Southeast Texas,29.9375017,-95.40659
"Office of the Principal Legal Advisor, Houston",Houston - OPLA,OPLA,,FALSE,"126 Northpoint Drive, Room 2020",Houston,TX,77060,77060,"126 Northpoint Drive, Room 2020, Houston, TX 77060",Southeast Texas,29.937506,-95.4065713
Houston - Community Relations Officer,Houston - OPE,OPE,,FALSE,4141 N. Sam Houston Parkway East #300,Houston,TX,77032,77032,"4141 N. Sam Houston Parkway East #300, Houston, TX 77032","Houston and Gulf Coast to include Beaumont to Galveston and Corpus Christi, Texas",29.9398595,-95.3264683
"Office of the Principal Legal Advisor, Hyattsville",Hyattsville - OPLA,OPLA,,FALSE,6505 Belcrest Road Suite 450,Hyattsville,MD,20782,20782,"6505 Belcrest Road Suite 450, Hyattsville, MD 20782",,38.9679242,-76.9526035
"Office of the Principal Legal Advisor, Imperial",Imperial - OPLA,OPLA,,FALSE,2409 La Brucherie Road Suite 3,Imperial,CA,92251,92251,"2409 La Brucherie Road Suite 3, Imperial, CA 92251",,32.8266637,-115.5793027
"Office of The Principal Legal Advisor, Chicago (Indianapolis)",Indianapolis - OPLA,OPLA,,FALSE,575 N. Pennsylvania Street Suite 646,Indianapolis,IN,46204,46204,"575 N. Pennsylvania Street Suite 646, Indianapolis, IN 46204",,39.7747274,-86.1552244
"Office of the Principal Legal Advisor, Dallas",Irving - OPLA,OPLA,,FALSE,"125 E. John Carpenter Fwy., Suite 500",Irving,TX,75062,75062,"125 E. John Carpenter Fwy., Suite 500, Irving, TX 75062",North Texas and Oklahoma,32.8677371,-96.9414203
HSI Dallas,Irving - HSI,HSI,,FALSE,125 E. John Carpenter Freeway Suite 800,Irving,TX,75062,75062,"125 E. John Carpenter Freeway Suite 800, Irving, TX 75062","Oklahoma, northern Texas",32.8700984,-96.9432454
"Office of the Principal Legal Advisor, New Orleans (Jena)",Jena - OPLA,OPLA,,FALSE,830 Pinehill Road,Jena,LA,71342,71342,"830 Pinehill Road, Jena, LA 71342",,31.7089427,-92.1505809
"Office of the Principal Legal Advisor, Chicago (Kansas City)",Kansas City - OPLA,OPLA,,FALSE,"2345 Grand Boulevard, Suite 500",Kansas City,MO,64108,64108,"2345 Grand Boulevard, Suite 500, Kansas City, MO 64108",,39.0850666,-94.5808617
HSI Kansas City,Kansas City - HSI,HSI,,FALSE,4100 N Mulberry Drive Suite 225,Kansas City,MO,64116,64116,"4100 N Mulberry Drive Suite 225, Kansas City, MO 64116","Iowa, Kansas, Missouri, Nebraska",39.1677085,-94.5987629
Joint Interagency Task Force (JIATF),Key West - JIATF,JIATF,,FALSE,9051 Truman Annex NAS Key West,Key West,FL,33040,33040,"9051 Truman Annex NAS Key West, Key West, FL 33040",,24.5484435,-81.8068471
"Office of the Principal Legal Advisor, Los Angeles (Las Vegas)",Las Vegas - OPLA,OPLA,,FALSE,"501 S. Las Vegas Blvd, Suite 200",Las Vegas,NV,89101,89101,"501 S. Las Vegas Blvd, Suite 200, Las Vegas, NV 89101",,36.1643148,-115.143607
HSI Las Vegas,Las Vegas - HSI,HSI,,FALSE,501 Las Vegas Boulevard South Suite 536,Las Vegas,NV,89101,89101,"501 Las Vegas Boulevard South Suite 536, Las Vegas, NV 89101","Nevada, Utah",36.1642497,-115.1434662
HSI Chicago,Lombard - HSI,HSI,,FALSE,747 E. 22nd Street Suite 300,Lombard,IL,60148,60148,"747 E. 22nd Street Suite 300, Lombard, IL 60148","Illinois, Indiana, Wisconsin",41.8452539,-87.9993091
Los Angeles - Community Relations Officer,Long Beach - OPE,OPE,,FALSE,"501 West Ocean Boulevard, Ste 7200",Long Beach,CA,90802,90802,"501 West Ocean Boulevard, Ste 7200, Long Beach, CA 90802","Los Angeles, Orange, Riverside, San Bernardino, Ventura and Clark California",33.7677716,-118.198337
"Office of the Principal Legal Advisor, Los Angeles",Los Angeles - OPLA,OPLA,,FALSE,"606 South Olive Street, 8th Floor",Los Angeles,CA,90014,90014,"606 South Olive Street, 8th Floor, Los Angeles, CA 90014",Greater Los Angeles Metropolitan Area and Nevada,34.0477206,-118.2541013
Los Angeles Field Office,Los Angeles - ERO,ERO,,FALSE,300 North Los Angeles St. Room 7631,Los Angeles,CA,90012,90012,"300 North Los Angeles St. Room 7631, Los Angeles, CA 90012","Los Angeles Metropolitan Area (Counties of Los Angeles, Orange, Riverside, San Bernardino), and Central Coast (Counties of Ventura, Santa Barbara and San Luis Obispo)",34.0537633,-118.2397336
"Office of the Principal Legal Advisor, Los Angeles (North Los Angeles)",Los Angeles - OPLA,OPLA,,FALSE,300 N. Los Angeles Street Suite 1240,Los Angeles,CA,90012,90012,"300 N. Los Angeles Street Suite 1240, Los Angeles, CA 90012",,34.0537633,-118.2397336
HSI Los Angeles,Los Angeles - HSI,HSI,,FALSE,300 N. Los Angeles Street Room 6075,Los Angeles,CA,90012,90012,"300 N. Los Angeles Street Room 6075, Los Angeles, CA 90012",Los Angeles and central California,34.0537633,-118.2397336
"Office of the Principal Legal Advisor, San Antonio (Los Fresnos)",Los Fresnos - OPLA,OPLA,,FALSE,27991 Buena Vista Blvd,Los Fresnos,TX,78566,78566,"27991 Buena Vista Blvd, Los Fresnos, TX 78566",,26.1569011,-97.3505561
"Office of the Principal Legal Advisor, Atlanta (Lumpkin)",Lumpkin - OPLA,OPLA,,FALSE,146 CCA Road,Lumpkin,GA,31815,31815,"146 CCA Road, Lumpkin, GA 31815",,32.0365622,-84.7713749
"Office of the Principal Legal Advisor, New Orleans (Memphis)",Memphis - OPLA,OPLA,,FALSE,"80 Monroe Avenue, Suite 200",Memphis,TN,38103,38103,"80 Monroe Avenue, Suite 200, Memphis, TN 38103",,35.1443971,-90.0535269
Miami (HSI Caribbean),Miami - HSI,HSI,,FALSE,11226 NW 20th Street,Miami,FL,33172,33172,"11226 NW 20th Street, Miami, FL 33172",,25.7914614,-80.3784806
"Office of the Principal Legal Advisor, Miami",Miami - OPLA,OPLA,,FALSE,"333 S. Miami Avenue, Suite 200",Miami,FL,33130,33130,"333 S. Miami Avenue, Suite 200, Miami, FL 33130","South Florida, Puerto Rico, and the Virgin Islands",25.7710405,-80.1930838
"Office of the Principal Legal Advisor, Miami",Miami - OPLA,OPLA,,FALSE,18201 SW 12th Street,Miami,FL,33194,33194-2700,"18201 SW 12th Street, Miami, FL 33194-2700",,25.7543477,-80.4891143
Miami - Community Relations Officer,Miami - OPE,OPE,,FALSE,11226 NW 20th Street,Miami,FL,33172,33172,"11226 NW 20th Street, Miami, FL 33172",South Florida,25.7914614,-80.3784806
HSI Miami,Miami - HSI,HSI,,FALSE,11226 Northwest 20th Street,Miami,FL,33172,33172,"11226 Northwest 20th Street, Miami, FL 33172",Eastern and southern Florida,25.7914614,-80.3784806
Miramar Sub Office,Miramar - ERO,ERO,,FALSE,2805 SW 145th Ave,Miramar,FL,33027,33027,"2805 SW 145th Ave, Miramar, FL 33027","Florida, Puerto Rico, U.S. Virgin Islands",25.9827432,-80.3394602
HSI Nashville,Nashville - HSI,HSI,,FALSE,501 Brick Church Park Drive,Nashville,TN,37207,37207,"501 Brick Church Park Drive, Nashville, TN 37207","Kentucky, Tennessee",36.2251232,-86.7865862
"Office of the Principal Legal Advisor, New Orleans",New Orleans - OPLA,OPLA,,FALSE,423 Canal Street Suite 450,New Orleans,LA,70130,70130,"423 Canal Street Suite 450, New Orleans, LA 70130","Alabama, Arkansas, Kentucky, Louisiana, Mississippi, and Tennessee",29.9521743,-90.0663559
New Orleans - Community Relations Officer,New Orleans - OPE,OPE,,FALSE,"1250 Poydras Street, Ste 2200",New Orleans,LA,70113,70113,"1250 Poydras Street, Ste 2200, New Orleans, LA 70113","Louisiana, Tennessee, Alabama, Arkansas, Mississippi",29.9507683,-90.0767572
HSI New Orleans,New Orleans - HSI,HSI,,FALSE,1250 Poydras Street Suite 2200,New Orleans,LA,70113,70113,"1250 Poydras Street Suite 2200, New Orleans, LA 70113","Arkansas, Louisiana, Mississippi",29.9507683,-90.0767572
"Office of the Principal Legal Advisor, New York",New York - OPLA,OPLA,,FALSE,"26 Federal Plaza, Room 1130",New York,NY,10278,10278,"26 Federal Plaza, Room 1130, New York, NY 10278","Long Island, New York City, and Southern Counties",40.7152635,-74.0037546
"Office of the Principal Legal Advisor, New York (Varick Street)",New York - OPLA,OPLA,,FALSE,"201 Varick Street, Room 738",New York,NY,10014,10014,"201 Varick Street, Room 738, New York, NY 10014",,40.7282753,-74.0055662
New York City Field Office,New York - ERO,ERO,,FALSE,"26 Federal Plaza 9th Floor, Suite 9-110",New York,NY,10278,10278,"26 Federal Plaza 9th Floor, Suite 9-110, New York, NY 10278","The five boroughs (counties of NYC) and the following counties: Duchess, Nassau, Putnam, Suffolk, Sullivan, Orange, Rockland, Ulster, and Westchester",40.7152635,-74.0037546
New York - Community Relations Officer,New York - OPE,OPE,,FALSE,601 W. 26th Street 7th Floor,New York,NY,10001,10001,"601 W. 26th Street 7th Floor, New York, NY 10001",Eastern New York and Long Island,40.7515771,-74.006581
HSI New York,New York - HSI,HSI,,FALSE,601 W. 26th Street Room 726,New York,NY,10001,10001,"601 W. 26th Street Room 726, New York, NY 10001",New York City,40.7515771,-74.006581
"Office of the Principal Legal Advisor, Newark",Newark - OPLA,OPLA,,FALSE,"970 Broad Street, Room 1300",Newark,NJ,07102,07102,"970 Broad Street, Room 1300, Newark, NJ 07102",New Jersey,40.7301363,-74.1742268
Newark Field Office,Newark - ERO,ERO,,FALSE,970 Broad St. 11th Floor,Newark,NJ,07102,07102,"970 Broad St. 11th Floor, Newark, NJ 07102",New Jersey,40.7301363,-74.1742268
Newark - Community Relations Officer,Newark - OPE,OPE,,FALSE,970 Broad Street,Newark,NJ,07102,07102,"970 Broad Street, Newark, NJ 07102",New Jersey,40.7301363,-74.1742268
HSI Newark,Newark - HSI,HSI,,FALSE,620 Frelinghuysen Avenue,Newark,NJ,07114,07114,"620 Frelinghuysen Avenue, Newark, NJ 07114",New Jersey,40.7000364,-74.196058
"Office of the Principal Legal Advisor, New York (Newburgh)",Newburgh - OPLA,OPLA,,FALSE,15 Governor Drive,Newburgh,NY,12550,12550,"15 Governor Drive, Newburgh, NY 12550",,41.5157485,-74.1110231
"Office of the Principal Legal Advisor, New Orleans (Oakdale)",Oakdale - OPLA,OPLA,,FALSE,1010 E. Whatley Road,Oakdale,LA,71463,71463-1128,"1010 E. Whatley Road, Oakdale, LA 71463-1128",,30.8329984,-92.6506774
"Office of the Principal Legal Advisor, Minneapolis-St. Paul (Omaha)",Omaha - OPLA,OPLA,,FALSE,"1717 Avenue H, Room 174",Omaha,NE,68110,68110,"1717 Avenue H, Room 174, Omaha, NE 68110",,41.2804967,-95.9086152
